Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P10852	4F2_MOUSE	reviewed	4F2 cell-surface antigen heavy chain (4F2hc) (CD antigen CD98)	Slc3a2 Mdu1	Mus musculus (Mouse)	526
Q64264	5HT1A_MOUSE	reviewed	5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (Serotonin receptor 1A)	Htr1a Gpcr18	Mus musculus (Mouse)	421
P28334	5HT1B_MOUSE	reviewed	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B)	Htr1b 5ht1b	Mus musculus (Mouse)	386
Q61224	5HT1D_MOUSE	reviewed	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin receptor 1D)	Htr1d Gpcr14	Mus musculus (Mouse)	374
Q02284	5HT1F_MOUSE	reviewed	5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (5-HT-1E-beta) (Serotonin receptor 1F)	Htr1f 5ht1f Htr1eb	Mus musculus (Mouse)	366
P35363	5HT2A_MOUSE	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Mus musculus (Mouse)	471
Q02152	5HT2B_MOUSE	reviewed	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (5-HT-2F) (NP75 protein) (Serotonin receptor 2B)	Htr2b	Mus musculus (Mouse)	479
P34968	5HT2C_MOUSE	reviewed	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	Htr2c 5ht1c Htr1c	Mus musculus (Mouse)	459
P23979	5HT3A_MOUSE	reviewed	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	Htr3a 5ht3 Htr3	Mus musculus (Mouse)	487
Q9JHJ5	5HT3B_MOUSE	reviewed	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	Htr3b	Mus musculus (Mouse)	437
P97288	5HT4R_MOUSE	reviewed	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	Htr4	Mus musculus (Mouse)	388
P30966	5HT5A_MOUSE	reviewed	5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)	Htr5a 5ht5a	Mus musculus (Mouse)	357
P31387	5HT5B_MOUSE	reviewed	5-hydroxytryptamine receptor 5B (5-HT-5B) (5-HT5B) (Serotonin receptor 5B)	Htr5b 5ht5b	Mus musculus (Mouse)	370
Q9R1C8	5HT6R_MOUSE	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	Htr6	Mus musculus (Mouse)	440
P32304	5HT7R_MOUSE	reviewed	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7)	Htr7	Mus musculus (Mouse)	448
Q61503	5NTD_MOUSE	reviewed	5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73)	Nt5e Nt5 Nte	Mus musculus (Mouse)	576
Q60612	AA1R_MOUSE	reviewed	Adenosine receptor A1	Adora1	Mus musculus (Mouse)	326
Q60613	AA2AR_MOUSE	reviewed	Adenosine receptor A2a	Adora2a	Mus musculus (Mouse)	410
Q60614	AA2BR_MOUSE	reviewed	Adenosine receptor A2b	Adora2b	Mus musculus (Mouse)	332
Q61618	AA3R_MOUSE	reviewed	Adenosine receptor A3 (A3AR)	Adora3 Gpcr2	Mus musculus (Mouse)	319
Q3UHJ0	AAK1_MOUSE	reviewed	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	Aak1 Kiaa1048	Mus musculus (Mouse)	959
P05202	AATM_MOUSE	reviewed	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	Got2 Got-2	Mus musculus (Mouse)	430
Q8R5A3	AB1IP_MOUSE	reviewed	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (APBB1-interacting protein 1) (Proline-rich EVH1 ligand 1) (PREL-1) (Proline-rich protein 48)	Apbb1ip Prel1	Mus musculus (Mouse)	670
Q8K442	ABC8A_MOUSE	reviewed	ATP-binding cassette sub-family A member 8-A	Abca8a	Mus musculus (Mouse)	1620
