Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O70456	1433S_MOUSE	reviewed	14-3-3 protein sigma (Stratifin)	Sfn Mkrn3	Mus musculus (Mouse)	248
P12961	7B2_MOUSE	reviewed	Neuroendocrine protein 7B2 (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	Scg5 Sgne-1 Sgne1	Mus musculus (Mouse)	212
Q60590	A1AG1_MOUSE	reviewed	Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1)	Orm1 Agp1 Orm-1	Mus musculus (Mouse)	207
P07361	A1AG2_MOUSE	reviewed	Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2)	Orm2 Agp-2 Orm-2	Mus musculus (Mouse)	207
Q63805	A1AG3_MOUSE	reviewed	Alpha-1-acid glycoprotein 3 (AGP 3) (Orosomucoid-3) (OMD 3)	Orm3 Agp-3 Orm-3	Mus musculus (Mouse)	206
P07758	A1AT1_MOUSE	reviewed	Alpha-1-antitrypsin 1-1 (AAT) (Alpha-1 protease inhibitor 1) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-1) (Serine protease inhibitor A1a) (Serpin A1a)	Serpina1a Dom1 Spi1-1	Mus musculus (Mouse)	413
P22599	A1AT2_MOUSE	reviewed	Alpha-1-antitrypsin 1-2 (AAT) (Alpha-1 protease inhibitor 2) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-2) (Serine protease inhibitor A1b) (Serpin A1b)	Serpina1b Aat2 Dom2 Spi1-2	Mus musculus (Mouse)	413
Q00896	A1AT3_MOUSE	reviewed	Alpha-1-antitrypsin 1-3 (Alpha-1 protease inhibitor 3) (Alpha-1 protease inhibitor 6) (Alpha-1-antitrypsin 1-6) (Serine protease inhibitor 1-3) (Serine protease inhibitor 1-6) (Serine protease inhibitor A1c) (Serpin A1c)	Serpina1c Dom3 Dom6 Spi1-3 Spi1-6	Mus musculus (Mouse)	412
Q00897	A1AT4_MOUSE	reviewed	Alpha-1-antitrypsin 1-4 (Alpha-1 protease inhibitor 4) (Serine protease inhibitor 1-4) (Serine protease inhibitor A1d) (Serpin A1d)	Serpina1d Dom4 Spi1-4	Mus musculus (Mouse)	413
Q00898	A1AT5_MOUSE	reviewed	Alpha-1-antitrypsin 1-5 (Alpha-1 protease inhibitor 5) (Serine protease inhibitor 1-5) (Serine protease inhibitor A1e) (Serpin A1e)	Serpina1e Dom5 Spi1-5	Mus musculus (Mouse)	413
Q9DCQ7	A1AT6_MOUSE	reviewed	Alpha-1-antitrypsin 1-6 (Alpha-1 protease inhibitor 6) (Alpha-1-antiproteinase) (Serine protease inhibitor 1-6) (Serine protease inhibitor A1f) (Serpin A1f)	Serpina1f	Mus musculus (Mouse)	411
Q19LI2	A1BG_MOUSE	reviewed	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1bg	Mus musculus (Mouse)	512
Q61247	A2AP_MOUSE	reviewed	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	Serpinf2 Pli	Mus musculus (Mouse)	491
Q6GQT1	A2MP_MOUSE	reviewed	Alpha-2-macroglobulin-P (Alpha-2-macroglobulin)	A2mp A2m	Mus musculus (Mouse)	1474
Q61838	A2M_MOUSE	reviewed	Alpha-2-macroglobulin (Alpha-2-M) (Pregnancy zone protein) [Cleaved into: Alpha-2-macroglobulin 165 kDa subunit; Alpha-2-macroglobulin 35 kDa subunit]	A2m Pzp	Mus musculus (Mouse)	1495
Q5F2F2	ABH15_MOUSE	reviewed	Abhydrolase domain-containing protein 15 (EC 3.1.1.-)	Abhd15	Mus musculus (Mouse)	459
Q8JZQ5	ABP1_MOUSE	reviewed	Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein) (ABP) (Histaminase)	Abp1	Mus musculus (Mouse)	751
Q9JI02	ABPD_MOUSE	reviewed	Androgen-binding protein delta (Allergen dI chain C2C) (Lacrimal androgen-binding protein delta)	Abpd	Mus musculus (Mouse)	112
Q6UGQ3	ABPE_MOUSE	reviewed	Androgen-binding protein epsilon (Lacrimal androgen-binding protein epsilon)	Abpe	Mus musculus (Mouse)	114
Q7M747	ABPZ_MOUSE	reviewed	Androgen-binding protein zeta (Allergen dI chain C2B) (Lacrimal androgen-binding protein zeta)	Abpz	Mus musculus (Mouse)	112
Q8R0I0	ACE2_MOUSE	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) [Cleaved into: Processed angiotensin-converting enzyme 2]	Ace2	Mus musculus (Mouse)	805
P21836	ACES_MOUSE	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Mus musculus (Mouse)	614
P09470	ACE_MOUSE	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Ace Dcp1	Mus musculus (Mouse)	1312
Q8BHA9	ACPL2_MOUSE	reviewed	Acid phosphatase-like protein 2 (EC 3.1.3.2)	Acpl2	Mus musculus (Mouse)	480
Q3V140	ACRBP_MOUSE	reviewed	Acrosin-binding protein (Proacrosin-binding protein sp32)	Acrbp	Mus musculus (Mouse)	540
Q9Z0F8	ADA17_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Adam17 Tace	Mus musculus (Mouse)	827
Q9R1V7	ADA23_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)	Adam23 Mdc3	Mus musculus (Mouse)	829
Q9D0L4	ADCK1_MOUSE	reviewed	Uncharacterized aarF domain-containing protein kinase 1 (EC 2.7.11.-)	Adck1	Mus musculus (Mouse)	525
Q9R0X2	ADEC1_MOUSE	reviewed	ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1)	Adamdec1	Mus musculus (Mouse)	467
