InterPro Description	InterPro ID	Number in RPS	Number in Secretome	Ratio	Clone ID of Secretome clones containing domain																																																																																																						
Domain Kringle	IPR000001	11	8	0.73	PA2022	PA2686	PA2687	PA4375	PA4376	PA4392	PA7112	PB7832																																																																																															
Domain SapB	IPR000004	4	3	0.75	PA4542	PB6477	B%SWISS-PROT:P50405																																																																																																				
Domain HTHAraC	IPR000005	6	1	0.17	PB6130																																																																																																						
Domain C2	IPR000008	81	3	0.04	PA4280	PC14770	PB18953																																																																																																				
Family Cystatin	IPR000010	23	16	0.70	PA660	PA1549	PA1550	PA1551	PA1552	PA3203	PB3948	PB7773	PA7889	PC10787	PC10848	PC14469	PC17744	PC18256	PC18582	PB19231																																																																																							
Domain Anaphylatoxin	IPR000020	5	4	0.80	PA2073	PA2074	PA2639	PC31673																																																																																																			
Family Carboxyl_trans	IPR000022	1	1	1.00	PB8803																																																																																																						
Domain Fz_domain	IPR000024	20	6	0.30	PB5037	PB5078	PA5079	PB5080	PB7142	PC21027																																																																																																	
Repeat Ldl_receptor_rep	IPR000033	12	2	0.17	PA3952	PC37073																																																																																																					
Domain Laminin_B	IPR000034	7	7	1.00	PA2826	PA3254	PA3255	PA3258	PA3262	PA3263	PA6183																																																																																																
Domain SAM_bind	IPR000051	39	4	0.10	PC114	PA1442	PB9720	PC70799																																																																																																			
Domain Thiored	IPR000063	33	2	0.06	PA2516	PB164																																																																																																					
Family Leptin	IPR000065	1	1	1.00	PA3294																																																																																																						
Family PD_growth_factor	IPR000072	9	8	0.89	PA4241	PA4242	PA4283	PA5932	PA5933	PA5934	PB7152	PC12829																																																																																															
Domain Abhydrolase	IPR000073	18	9	0.50	PB1923	PA1924	PB3320	PB3669	PB9486	PC18700	PC25393	PC50659	PB8117																																																																																														
Family Apolipoprotein	IPR000074	4	4	1.00	PA813	PA815	PA822	PB8143																																																																																																			
Domain SEA_domain	IPR000082	5	1	0.20	PA2826																																																																																																						
Domain Fibrnctn1	IPR000083	4	4	1.00	PA2176	PA4375	PA7112	PB7832																																																																																																			
Domain NUDIX_hydrolase	IPR000086	21	5	0.24	PA406	PA3784	PC14870	PC18366	PC38101																																																																																																		
Repeat Collagen	IPR000087	66	53	0.80	PB45	PA511	PA1051	PA1052	PA1054	PA1412	PA1413	PA1414	PA1415	PB1418	PA1420	PB1421	PB1422	PA1423	PA1424	PA1425	PB1426	PC1428	PB1429	PB1430	PA1431	PA1432	PB1434	PA1435	PA1436	PB1437	PC1438	PA1439	PA1440	PB2032	PB2033	PA2089	PB3054	PA3611	PA3612	PA5085	PA5087	PA6132	PB6984	PB7553	PB9221	PC10467	PC10691	PC12561	PC12754	PC13587	PB18980	PB19249	PC19566	PC22007	PC24560	PC39903	B%ENSEMBL:ENSMUSP00000001103																																																		
Family Opioid_neuropep	IPR000094	2	2	1.00	PA4006	PB4256																																																																																																					
Family Serum_amyloid_A	IPR000096	4	4	1.00	PA4967	PA4968	PA4969	PA4970																																																																																																			
Family Interleukin_10	IPR000098	5	5	1.00	PA703	PA2944	PA6869	PA7753	PB19100																																																																																																		
Family Gglutrnspptdase	IPR000101	1	1	1.00	PB6164																																																																																																						
Family Antifreeze_1	IPR000104	94	18	0.19	PA1875	PC16827	PC22220	PC34598	PA5498	PA5651	PA6939	PA7122	PB7418	PB7529	PB7759	PB7913	PC8120	PC15207	PB19157	PC23899	PC33189	PC60084																																																																																					
Family Glyco_hydro_GHD	IPR000111	1	1	1.00	PB3866																																																																																																						
Family Ribosomal_L16	IPR000114	1	1	1.00	PB19211																																																																																																						
Family Casein_kappa	IPR000117	1	1	1.00	PA1537																																																																																																						
Domain Granulin	IPR000118	1	1	1.00	PA2514																																																																																																						
Family Amidase	IPR000120	1	1	1.00	PA2037																																																																																																						
Family ATPase_gamma	IPR000131	1	1	1.00	PB6141																																																																																																						
Family HMG_coA_lyase	IPR000138	1	1	1.00	PA2717																																																																																																						
PTM Asx_hydroxyl	IPR000152	76	42	0.55	PB486	PA1005	PA1543	PA1544	PC1824	PB2018	PA2029	PA2073	PA2074	PA2075	PA2076	PB2287	PB3365	PB3367	PA3595	PB3596	PA3600	PA3602	PA3952	PA4522	PA4527	PC5206	PC5207	PC5208	PB5671	PA6156	PB6268	PB6857	PA7013	PB7036	PB7569	PA7820	PB8024	PB8026	PB8801	PC11678	PC16239	PC17001	PC24560	PC34048	PC38939	PC40559																																																													
Domain RA_domain	IPR000159	27	1	0.04	PC14770																																																																																																						
Family Prohibitin	IPR000163	2	2	1.00	PB4290	PC60077																																																																																																					
Family SHprot_acsite	IPR000169	59	20	0.34	PB733	PA1561	PA1562	PA1566	PA1567	PA1568	PA1569	PA1570	PA6423	PB6452	PC7253	PB7255	PA7443	PB7582	PB7805	PA7971	PB7972	PC15571	PC24237	PB5583																																																																																			
Domain Apple	IPR000177	2	2	1.00	PA3183	PC13037																																																																																																					
Family Renal_dipeptdse	IPR000180	1	1	1.00	PA1755																																																																																																						
Family Decarbxylse2	IPR000183	8	1	0.13	PB3419																																																																																																						
Family Interleukin_5	IPR000186	1	1	1.00	PA2980																																																																																																						
Family corticoliberin	IPR000187	1	2	2.00	PB5853	B%ENSEMBL:ENSMUSP00000029133																																																																																																					
Family AminotransfV	IPR000192	4	2	0.50	PA654	PA3940																																																																																																					
"H+-transporting two-sector ATPase, alpha/beta subunit, central region"	IPR000194	20	3	0.15	PA906	PA1875	PB19156																																																																																																				
Domain NAD_binding	IPR000205	12	1	0.08	PA2134																																																																																																						
Family Ribosomal_L12	IPR000206	1	1	1.00	PC11189																																																																																																						
Family Peptidase_S8	IPR000209	17	5	0.29	PA1431	PA4210	PA4211	PA4213	PC33203																																																																																																		
Domain BTB_POZ	IPR000210	121	3	0.02	PB4462	PC13021	PC22220																																																																																																				
Family Serpin	IPR000215	51	16	0.31	PA651	PA1050	PA1155	PA2641	PA4201	PA4372	PA4393	PA5299	PA5308	PA5314	PC9666	PB9765	PC12936	PB14783	PC25416	PC31708																																																																																							
Family Tubulin	IPR000217	21	1	0.05	PA2295																																																																																																						
Family Ribosomal_L14	IPR000218	1	1	1.00	PC10071																																																																																																						
