SCOP Superfamily	SCOP ID	Number in RPS	Number in Secretome	Ratio	Clone ID of Secretome clones containing domain																																																																																																	
alpha-helical ferredoxin	46548	2	1	0.50	PB2787																																																																																																	
Chaperone J-domain	46565	39	4	0.10	PB4507	PA6533	PB9483	PB19066																																																																																														
A class II aminoacyl-tRNA synthetase N-domain	46589	2	1	0.50	PB12998																																																																																																	
Homeodomain-like	46689	219	1	0.00	PA4439																																																																																																	
Winged helix DNA-binding domain	46785	127	3	0.02	PA1875	PB2157	PA3718																																																																																															
Ribosomal protein S18	46911	2	2	1.00	PC8858	PB10159																																																																																																
"""Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3"""	46915	1	1	1.00	B%TREMBL:Q9DC52																																																																																																	
UBA-like	46934	9	1	0.11	PC8384																																																																																																	
Spectrin repeat	46966	23	2	0.09	PB60281	PB365																																																																																																
Succinate dehydrogenase/fumarate reductase C-terminal domain	46977	1	1	1.00	PC8835																																																																																																	
Second domain of FERM	47031	35	1	0.03	PC32586																																																																																																	
S15/NS1 RNA-binding domain	47060	4	1	0.25	PA8392																																																																																																	
PGBD-like	47090	1	1	1.00	PA3710																																																																																																	
Mitochondrial import receptor subunit Tom20	47157	3	1	0.33	PC15806																																																																																																	
Apolipoprotein	47162	5	5	1.00	PA813	PA814	PA815	PA822	PB8143																																																																																													
"""Acyl-CoA dehydrogenase (flavoprotein), C-terminal domain"""	47203	13	3	0.23	PA446	PC8896	PC23993																																																																																															
Ferritin-like	47240	6	1	0.17	PB9414																																																																																																	
4-helical cytokines	47266	58	52	0.90	PA703	PA1526	PA1530	PB1793	PA2368	PB2881	PB2882	PB2883	PB2884	PB2885	PB2886	PB2887	PB2888	PA2892	PA2893	PA2944	PA2950	PA2954	PA2972	PA2976	PA2978	PA2980	PA2982	PA3294	PA3314	PA4361	PA4362	PA4389	PA4391	PA4509	PB4510	PB4511	PB4512	PB4514	PB4515	PA5639	PB6541	PA6869	PB7509	PB7531	PA7753	PC8378	PB8879	PB9151	PB9313	PC14889	PB14928	PC16109	PB19005	PB19100	PC20058	B%SWISS-PROT:P07321																																														
ACP-like	47336	3	1	0.33	PC11639																																																																																																	
Retrovirus capsid protein C-terminal domain	47353	4	2	0.50	PB2850	PC42303																																																																																																
Domain of the SRP/SRP receptor G-proteins	47364	2	1	0.50	PC9230																																																																																																	
Bromodomain	47370	18	1	0.06	PA5650																																																																																																	
lambda repressor-like DNA-binding domains	47413	13	1	0.08	PA4439																																																																																																	
Binding domain of Skn-1	47454	27	3	0.11	PA3923	PB3925	PA3079																																																																																															
Helix-loop-helix DNA-binding domain	47459	97	2	0.02	PB3668	B%TREMBL:Q9EPW4																																																																																																
EF-hand	47473	202	19	0.09	PA1096	PB1816	PA2208	PA2350	PA4051	PA5293	PB5332	PA6914	PB7962	PB7963	PC10161	PC11315	PB13748	PC14770	PB19247	PC19506	PC23842	PC35952	PA5036																																																																															
"""Glutathione S-transferases, C-terminal domain"""	47616	35	1	0.03	PB19280																																																																																																	
Anaphylotoxins (complement system)	47686	3	3	1.00	PA2073	PA2639	PC31673																																																																																															
Saposin	47862	3	3	1.00	PA4542	PB6477	B%SWISS-PROT:P50405																																																																																															
C-terminal domain of alpha and beta subunits of F1 ATP synthase	47917	4	1	0.25	PA906																																																																																																	
"""Retrovirus capsid protein, N-terminal core domain"""	47943	6	3	0.50	PB2850	PC42303	B%TREMBL:Q9D7Q3																																																																																															
Cyclin-like	47954	30	1	0.03	PB7529																																																																																																	
Ribosomal protein S7	47973	2	1	0.50	PC6784																																																																																																	
DEATH domain	47986	46	4	0.09	PB4130	PC14645	PC16876	PA2050																																																																																														
Guanido kinases	48034	4	1	0.25	PA1349																																																																																																	
DBL homology domain	48065	40	1	0.03	PB365																																																																																																	
Methyl-coenzyme M reductase alpha and beta chain C-terminal domain	48081	1	1	1.00	PA2176																																																																																																	
"""Regulator of G-protein signalling, RGS"""	48097	26	1	0.04	PA940																																																																																																	
